Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Jada Kennedy,#9,Portland Pilots,Willamette Bearcats,1,11/04/25,14,2,2,4,1,0,0,0,0,3,4,0,0,0,0,0.75,6,19,True,0
Aubrey Herrin,#5,Portland Pilots,Willamette Bearcats,1,11/04/25,18,1,3,4,1,0,2,2,2,3,4,0,0,0,0,0.75,6,21,True,0
Brynn Smith,#12,Portland Pilots,Willamette Bearcats,1,11/04/25,20,0,1,1,2,4,0,3,0,6,9,0,1,0,0,0.667,12,34,True,0
Caitlin Monahan,#14,Portland Pilots,Willamette Bearcats,1,11/04/25,14,2,1,3,2,0,1,2,1,0,3,0,1,0,0,0.0,0,4,True,0
Tiffany Barbosa,#7,Portland Pilots,Willamette Bearcats,1,11/04/25,19,0,1,1,1,3,0,0,1,2,4,0,2,2,2,0.5,6,22,True,0
Natalie Fraley,#10,Portland Pilots,Willamette Bearcats,1,11/04/25,19,0,3,3,4,2,1,4,1,3,5,1,3,2,2,0.7,9,30,True,0
Nicole Anderson,#17,Portland Pilots,Willamette Bearcats,1,11/04/25,10,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0.333,2,2,True,0
Shorna Preston,#12,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,15,0,8,8,2,1,0,3,3,2,2,0,0,0,0,1.0,4,19,True,0
Irune Orio,#31,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,18,0,2,2,5,0,1,2,2,1,1,1,1,3,4,1.5,6,26,True,0
Ellison Guiney,#2,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,28,1,3,4,3,2,0,3,1,4,8,2,6,4,6,0.625,14,30,True,0
Taija Sta. Maria,#1,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,34,0,2,2,7,1,0,5,3,1,4,1,1,3,4,0.375,6,22,True,0
Meghan Fiso,#13,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,23,0,4,4,2,1,2,4,1,6,9,0,2,1,1,0.667,13,32,True,0
Zoe Shanahan,#44,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,1,True,0
Seleh Harmon,#30,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,23,0,0,0,2,2,1,2,0,5,7,5,7,0,0,1.071,15,41,True,0
Quinn VanSickle,#11,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,-2,True,0
Ilinca Belegante,#10,Pepperdine Waves,Cal State Fullerton Titans,1,11/04/25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,-2,True,0
